Timestamp: 2023. 11. 13. 12:45:01, Coordinates: (413, 390)
Timestamp: 2023. 11. 13. 12:45:02, Coordinates: (413, 390)
Timestamp: 2023. 11. 13. 12:45:03, Coordinates: (334, 411)
Timestamp: 2023. 11. 13. 12:45:04, Coordinates: (404, 457)
Timestamp: 2023. 11. 13. 12:45:05, Coordinates: (427, 393)
Timestamp: 2023. 11. 13. 13:03:02, Coordinates: ( X: 1005, Y: 332 )
Timestamp: 2023. 11. 13. 13:03:03, Coordinates: ( X: 1005, Y: 332 )
Timestamp: 2023. 11. 13. 13:03:04, Coordinates: ( X: 796, Y: 337 )
Timestamp: 2023. 11. 13. 13:03:05, Coordinates: ( X: 688, Y: 360 )
Timestamp: 2023. 11. 13. 13:08:11, Coordinates: ( X: 852, Y: 443 )
Timestamp: 2023. 11. 13. 13:08:12, Coordinates: ( X: 852, Y: 443 )
Timestamp: 2023. 11. 13. 13:08:13, Coordinates: ( X: 365, Y: 263 )
Timestamp: 2023. 11. 13. 13:08:14, Coordinates: ( X: 596, Y: 317 )
Timestamp: 2023. 11. 13. 13:11:41, Coordinates: ( X: 775, Y: 440 )
Timestamp: 2023. 11. 13. 13:11:42, Coordinates: ( X: 775, Y: 440 )
Timestamp: 2023. 11. 13. 13:11:43, Coordinates: ( X: 775, Y: 440 )
Timestamp: 2023. 11. 13. 13:16:21, Coordinates: ( X: 699, Y: 367 )
Timestamp: 2023. 11. 13. 13:16:22, Coordinates: ( X: 699, Y: 367 )
Timestamp: 2023. 11. 13. 13:16:30, Coordinates: ( X: 356, Y: 380 )
Timestamp: 2023. 11. 13. 13:16:31, Coordinates: ( X: 356, Y: 380 )
Timestamp: 2023. 11. 13. 13:16:32, Coordinates: ( X: 437, Y: 367 )
Timestamp: 2023. 11. 13. 13:16:36, Coordinates: ( X: 360, Y: 390 )
Timestamp: 2023. 11. 13. 13:16:37, Coordinates: ( X: 360, Y: 390 )
Timestamp: 2023. 11. 13. 13:16:38, Coordinates: ( X: 360, Y: 390 )
Timestamp: 2023. 11. 13. 13:16:39, Coordinates: ( X: 360, Y: 390 )
Timestamp: 2023. 11. 13. 13:16:45, Coordinates: ( X: 323, Y: 387 )
Timestamp: 2023. 11. 13. 13:16:45, Coordinates: ( X: 323, Y: 387 )
Timestamp: 2023. 11. 13. 13:16:45, Coordinates: ( X: 323, Y: 387 )
Timestamp: 2023. 11. 13. 13:16:46, Coordinates: ( X: 323, Y: 387 )
Timestamp: 2023. 11. 13. 13:16:46, Coordinates: ( X: 323, Y: 387 )
Timestamp: 2023. 11. 13. 13:16:46, Coordinates: ( X: 323, Y: 387 )
Timestamp: 2023. 11. 13. 13:16:46, Coordinates: ( X: 323, Y: 387 )
Timestamp: 2023. 11. 13. 13:16:46, Coordinates: ( X: 323, Y: 387 )
Timestamp: 2023. 11. 13. 13:16:47, Coordinates: ( X: 323, Y: 387 )
Timestamp: 2023. 11. 13. 13:16:47, Coordinates: ( X: 323, Y: 387 )
Timestamp: 2023. 11. 13. 13:16:47, Coordinates: ( X: 323, Y: 387 )
Timestamp: 2023. 11. 13. 13:16:47, Coordinates: ( X: 323, Y: 387 )
Timestamp: 2023. 11. 13. 13:16:47, Coordinates: ( X: 323, Y: 387 )
Timestamp: 2023. 11. 13. 13:16:48, Coordinates: ( X: 323, Y: 387 )
Timestamp: 2023. 11. 13. 13:16:48, Coordinates: ( X: 323, Y: 387 )
Timestamp: 2023. 11. 13. 13:16:48, Coordinates: ( X: 323, Y: 387 )
Timestamp: 2023. 11. 13. 13:16:50, Coordinates: ( X: 328, Y: 386 )
Timestamp: 2023. 11. 13. 13:16:50, Coordinates: ( X: 328, Y: 386 )
Timestamp: 2023. 11. 13. 13:16:50, Coordinates: ( X: 328, Y: 386 )
Timestamp: 2023. 11. 13. 13:16:51, Coordinates: ( X: 328, Y: 386 )
Timestamp: 2023. 11. 13. 13:16:51, Coordinates: ( X: 328, Y: 386 )
Timestamp: 2023. 11. 13. 13:16:51, Coordinates: ( X: 328, Y: 386 )
Timestamp: 2023. 11. 13. 13:16:51, Coordinates: ( X: 328, Y: 386 )
Timestamp: 2023. 11. 13. 13:16:51, Coordinates: ( X: 328, Y: 386 )
Timestamp: 2023. 11. 13. 13:16:52, Coordinates: ( X: 328, Y: 386 )
Timestamp: 2023. 11. 13. 13:16:55, Coordinates: ( X: 322, Y: 385 )
Timestamp: 2023. 11. 13. 13:16:55, Coordinates: ( X: 322, Y: 385 )
Timestamp: 2023. 11. 13. 13:16:55, Coordinates: ( X: 322, Y: 385 )
Timestamp: 2023. 11. 13. 13:16:55, Coordinates: ( X: 322, Y: 385 )
Timestamp: 2023. 11. 13. 13:16:56, Coordinates: ( X: 322, Y: 385 )
Timestamp: 2023. 11. 13. 13:16:56, Coordinates: ( X: 322, Y: 385 )
Timestamp: 2023. 11. 13. 13:16:56, Coordinates: ( X: 322, Y: 385 )
Timestamp: 2023. 11. 13. 13:16:56, Coordinates: ( X: 322, Y: 385 )
Timestamp: 2023. 11. 13. 13:22:14, Coordinates: ( X: 701, Y: 543 )
Timestamp: 2023. 11. 13. 13:22:15, Coordinates: ( X: 701, Y: 543 )
