"(1, 1, 1, '0:1:11', 1)" +
"(2, 1, 2, '0:1:14', 1)" +
"(3, 1, 3, '0:1:18', 1)" +
"(4, 1, 4, '0:1:10', 1)" +
"(5, 1, 5, '0:1:29', 1)" +
"(6, 1, 6, '0:1:34', 1)" +
"(7, 1, 7, '0:1:33', 1)" +
"(8, 1, 8, '0:1:9', 1)" +
"(9, 1, 9, '0:1:31', 1)" +
"(10, 1, 10, '0:1:13', 1)" +
"(11, 1, 11, '0:1:11', 1)" +
"(12, 1, 12, '0:1:7', 1)" +
"(13, 1, 13, '0:1:5', 1)" +
"(14, 1, 14, '0:1:8', 1)" +
"(15, 1, 15, '0:1:12', 1)" +
"(16, 1, 16, '0:1:18', 1)" +
"(17, 1, 17, '0:1:22', 1)" +
"(18, 1, 18, '0:1:6', 1)" +
"(19, 2, 1, '0:1:20', 1)" +
"(20, 2, 2, '0:1:6', 1)" +
"(21, 2, 3, '0:1:29', 1)" +
"(22, 2, 4, '0:1:15', 1)" +
"(23, 2, 5, '0:1:5', 1)" +
"(24, 2, 6, '0:1:17', 1)" +
"(25, 2, 7, '0:1:5', 1)" +
"(26, 2, 8, '0:1:8', 1)" +
"(27, 2, 9, '0:1:27', 1)" +
"(28, 2, 10, '0:1:13', 1)" +
"(29, 2, 11, '0:1:14', 1)" +
"(30, 2, 12, '0:1:25', 1)" +
"(31, 2, 13, '0:1:28', 1)" +
"(32, 2, 14, '0:1:30', 1)" +
"(33, 2, 15, '0:1:14', 1)" +
"(34, 2, 16, '0:1:25', 1)" +
"(35, 2, 17, '0:1:8', 1)" +
"(36, 2, 18, '0:1:6', 1)" +
"(37, 3, 1, '0:1:11', 1)" +
"(38, 3, 2, '0:1:20', 1)" +
"(39, 3, 3, '0:1:5', 1)" +
"(40, 3, 4, '0:1:19', 1)" +
"(41, 3, 5, '0:1:27', 1)" +
"(42, 3, 6, '0:1:9', 1)" +
"(43, 3, 7, '0:1:8', 1)" +
"(44, 3, 8, '0:1:24', 1)" +
"(45, 3, 9, '0:1:18', 1)" +
"(46, 3, 10, '0:1:13', 1)" +
"(47, 3, 11, '0:1:15', 1)" +
"(48, 3, 12, '0:1:6', 1)" +
"(49, 3, 13, '0:1:34', 1)" +
"(50, 3, 14, '0:1:17', 1)" +
"(51, 3, 15, '0:1:16', 1)" +
"(52, 3, 16, '0:1:23', 1)" +
"(53, 3, 17, '0:1:7', 1)" +
"(54, 3, 18, '0:1:15', 1)" +
"(55, 4, 1, '0:1:11', 1)" +
"(56, 4, 2, '0:1:11', 1)" +
"(57, 4, 3, '0:1:30', 1)" +
"(58, 4, 4, '0:1:12', 1)" +
"(59, 4, 5, '0:1:19', 1)" +
"(60, 4, 6, '0:1:24', 1)" +
"(61, 4, 7, '0:1:11', 1)" +
"(62, 4, 8, '0:1:13', 1)" +
"(63, 4, 9, '0:1:10', 1)" +
"(64, 4, 10, '0:1:5', 1)" +
"(65, 4, 11, '0:1:12', 1)" +
"(66, 4, 12, '0:1:19', 1)" +
"(67, 4, 13, '0:1:17', 1)" +
"(68, 4, 14, '0:1:6', 1)" +
"(69, 4, 15, '0:1:29', 1)" +
"(70, 4, 16, '0:1:14', 1)" +
"(71, 4, 17, '0:1:12', 1)" +
"(72, 4, 18, '0:1:32', 1)" +
"(73, 5, 1, '0:1:5', 1)" +
"(74, 5, 2, '0:1:18', 1)" +
"(75, 5, 3, '0:1:26', 1)" +
"(76, 5, 4, '0:1:9', 1)" +
"(77, 5, 5, '0:1:29', 1)" +
"(78, 5, 6, '0:1:31', 1)" +
"(79, 5, 7, '0:1:33', 1)" +
"(80, 5, 8, '0:1:8', 1)" +
"(81, 5, 9, '0:1:9', 1)" +
"(82, 5, 10, '0:1:22', 1)" +
"(83, 5, 11, '0:1:16', 1)" +
"(84, 5, 12, '0:1:22', 1)" +
"(85, 5, 13, '0:1:25', 1)" +
"(86, 5, 14, '0:1:23', 1)" +
"(87, 5, 15, '0:1:33', 1)" +
"(88, 5, 16, '0:1:6', 1)" +
"(89, 5, 17, '0:1:22', 1)" +
"(90, 5, 18, '0:1:21', 1)" +
"(91, 6, 1, '0:1:32', 1)" +
"(92, 6, 2, '0:1:32', 1)" +
"(93, 6, 3, '0:1:19', 1)" +
"(94, 6, 4, '0:1:11', 1)" +
"(95, 6, 5, '0:1:24', 1)" +
"(96, 6, 6, '0:1:34', 1)" +
"(97, 6, 7, '0:1:12', 1)" +
"(98, 6, 8, '0:1:14', 1)" +
"(99, 6, 9, '0:1:26', 1)" +
"(100, 6, 10, '0:1:26', 1)" +
"(101, 6, 11, '0:1:28', 1)" +
"(102, 6, 12, '0:1:25', 1)" +
"(103, 6, 13, '0:1:21', 1)" +
"(104, 6, 14, '0:1:31', 1)" +
"(105, 6, 15, '0:1:18', 1)" +
"(106, 6, 16, '0:1:28', 1)" +
"(107, 6, 17, '0:1:13', 1)" +
"(108, 6, 18, '0:1:13', 1)" +
"(109, 1, 1, '0:1:5', 2)" +
"(110, 1, 2, '0:1:7', 2)" +
"(111, 1, 3, '0:1:15', 2)" +
"(112, 1, 4, '0:1:21', 2)" +
"(113, 1, 5, '0:1:28', 2)" +
"(114, 1, 6, '0:1:13', 2)" +
"(115, 1, 7, '0:1:10', 2)" +
"(116, 1, 8, '0:1:20', 2)" +
"(117, 1, 9, '0:1:14', 2)" +
"(118, 1, 10, '0:1:9', 2)" +
"(119, 1, 11, '0:1:27', 2)" +
"(120, 1, 12, '0:1:7', 2)" +
"(121, 1, 13, '0:1:20', 2)" +
"(122, 1, 14, '0:1:24', 2)" +
"(123, 1, 15, '0:1:32', 2)" +
"(124, 1, 16, '0:1:30', 2)" +
"(125, 1, 17, '0:1:29', 2)" +
"(126, 1, 18, '0:1:27', 2)" +
